#Num	Name	R	G	B	A
139	rh_S_collat_transv_post	10	200	200	0
140	rh_S_front_inf	221	220	20	0
141	rh_S_front_middle	141	20	100	0
142	rh_S_front_sup	61	220	100	0
143	rh_S_interm_prim-Jensen	141	60	20	0
144	rh_S_intrapariet_and_P_trans	143	20	220	0
145	rh_S_oc_middle_and_Lunatus	101	60	220	0
146	rh_S_oc_sup_and_transversal	21	20	140	0
147	rh_S_occipital_ant	61	20	180	0
148	rh_S_oc-temp_lat	221	140	20	0
149	rh_S_oc-temp_med_and_Lingual	141	100	220	0
150	rh_S_orbital_lateral	221	100	20	0
151	rh_S_orbital_med-olfact	181	200	20	0
152	rh_S_orbital-H_Shaped	101	20	20	0
153	rh_S_parieto_occipital	101	100	180	0
154	rh_S_pericallosal	181	220	20	0
155	rh_S_postcentral	21	140	200	0
156	rh_S_precentral-inf-part	21	20	240	0
157	rh_S_precentral-sup-part	21	20	200	0
158	rh_S_suborbital	21	20	60	0
159	rh_S_subparietal	101	60	60	0
160	rh_S_temporal_inf	21	180	180	0
161	rh_S_temporal_sup	223	220	60	0
162	rh_S_temporal_transverse	221	60	60	0
